material,score
Ti6Al4V_workpiece,53.3819639
Ti6Al4V_workpiece,53.29461574
Ti6Al4V_workpiece,54.68691179
Ti6Al4V_workpiece,54.82458575
Ti6Al4V_workpiece,48.52570485
Ti6Al4V_workpiece,50.94094402
Ti6Al4V_workpiece,51.19494168
Ti6Al4V_workpiece,47.575842
Ti6Al4V_workpiece,55.73174874
Ti6Al4V_workpiece,49.44231885
Ti6Al4V_workpiece,52.05479995
Ti6Al4V_workpiece,52.54260239
Ti6Al4V_workpiece,51.46809184
Ti6Al4V_workpiece,47.73587967
Ti6Al4V_workpiece,51.39093525
Ti6Al4V_workpiece,50.21431616
Ti6Al4V_workpiece,57.27856576
Ti6Al4V_workpiece,50.95217073
Ti6Al4V_workpiece,49.83924633
Ti6Al4V_workpiece,53.25255076
Ti6Al4V_workpiece,53.06646038
Ti6Al4V_workpiece,55.55543337
Ti6Al4V_workpiece,50.91078154
Ti6Al4V_workpiece,51.51165546
Ti6Al4V_workpiece,51.21637957
Ti6Al4V_workpiece,50.51823159
Ti6Al4V_workpiece,49.30046744
Ti6Al4V_workpiece,51.32030537
Ti6Al4V_workpiece,56.26434007
Ti6Al4V_workpiece,48.55701097
Ti6Al4V_workpiece,46.74553553
Ti6Al4V_workpiece,51.47640758
Ti6Al4V_workpiece,52.26874878
Ti6Al4V_workpiece,52.56769605
